key,category,requested_paths,status
00000000d569328f777b2628,Signs,Signs/Bridge_Closed_3.png,No selected unchanged file passed this curation
0000000080558b4344181099,Signs,Signs/8Ball.png,No selected unchanged file passed this curation
00000000179e646f5c6f35e0,Signs,Signs/Keep_Out.png,No selected unchanged file passed this curation
000000008db80a94a8fc6b24,Signs,Signs/Danger_Keep_Out.png,No selected unchanged file passed this curation
00000000e93d0ecdbf94b14a,Signs,Signs/Barber.png,No selected unchanged file passed this curation
0000000025b5759f8079d265,Signs,Signs/Fire_Exit.png,No selected unchanged file passed this curation
00000000d8a908f03125bab8,Signs,Signs/Ranch.png,No selected unchanged file passed this curation
000000001358ea33ee59f557,Signs,Signs/Fashion.png,No selected unchanged file passed this curation
00000000e9bf21e6c10a6063,Signs,Signs/Beans.png,No selected unchanged file passed this curation
000000005abb6f606f3cafa6,Signs,Signs/Curve2.png,No selected unchanged file passed this curation
00000000cd6922f020dd39a5,Signs,Signs/Curve3.png,No selected unchanged file passed this curation
00000000eb3f60226fbd8170,Signs,Signs/Curve4.png,No selected unchanged file passed this curation
000000005fb5bbae3d0385c7,Signs,Signs/Curve5.png,No selected unchanged file passed this curation
000000005bc4f1ef69f219a2,Signs,Signs/El_Pequeno.png,No selected unchanged file passed this curation
00000000fe8a3f908dfc457a,Signs,Signs/R_Lax.png,No selected unchanged file passed this curation
00000000aaeec9798948ba6c,Signs,Signs/Le_Singe.png,No selected unchanged file passed this curation
00000000f752b2f12912059c,Signs,Signs/Phils_Depot.png,No selected unchanged file passed this curation
00000000e46ddce2f5806e35,Signs,Signs/Range_Shooter.png,No selected unchanged file passed this curation
000000005354ed83729898f0,Signs,Signs/Range_Innocent.png,No selected unchanged file passed this curation
0000000078d4f97e361b57c9,Signs,Signs/Easter_Egg_NTSH.png,No selected unchanged file passed this curation
00000000c4439c880082007e,Signs,Signs/Easter_Egg_Number_1.png,No selected unchanged file passed this curation
000000004f6321826afee3e5,Signs,Signs/Easter_Egg_Number_2.png,No selected unchanged file passed this curation
00000000bdeb7832b1920cc5,Signs,Signs/Easter_Egg_Number_3.png,No selected unchanged file passed this curation
